District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,State,District,Latitude,Longitude,sex_ratio,literacy_rate
406,2663629,8566,519704,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,103.0,60.0
31,580320,5250,119866,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,114.0,74.0
32,529855,2220,91509,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,109.0,68.0
33,814010,9177,172754,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,109.0,75.0
34,84121,354,17865,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,122.0,72.0
35,2298323,14428,411216,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,112.0,71.0
36,815168,9732,161206,Punjab,Kapurthala,31.336592638036837,75.47641165644177,110.0,71.0
37,2193590,39082,446200,Punjab,Jalandhar,31.250336907216507,75.54400350515463,109.0,74.0
38,1586625,13747,319930,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,104.0,76.0
40,600163,5138,113683,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,115.0,71.0
41,3498739,58589,703624,Punjab,Ludhiana,30.76596397379912,75.83110851528383,115.0,73.0
42,995746,7897,183396,Punjab,Moga,30.756540067340065,75.1600845117845,112.0,63.0
43,2029074,10042,349662,Punjab,Firozpur,30.63407535211269,74.40245732394365,112.0,60.0
44,901896,4571,166585,Punjab,Muktsar,30.31243303303303,74.5518747747748,112.0,58.0
45,617508,4348,113549,Punjab,Faridkot,30.591187250996025,74.79751553784862,112.0,62.0
46,1388525,11284,255650,Punjab,Bathinda,30.190524611973352,75.05685898004438,115.0,61.0
47,769751,2673,140099,Punjab,Mansa,29.919547714285724,75.4304922857143,113.0,55.0
48,1895686,24274,352929,Punjab,Patiala,30.214540380693364,76.27505893949697,112.0,67.0
49,2490656,29961,461231,Punjab,Amritsar,31.548679820627772,74.79883856502238,112.0,68.0
51,684627,6600,129123,Punjab,Rupnagar,30.910937330754347,76.53743500967126,109.0,73.0
53,1655169,10736,305557,Punjab,Sangrur,30.185045204336895,75.89437014178496,113.0,61.0
55,1055450,44283,231204,Chandigarh,Chandigarh,30.7426,76.75872465753424,122.0,76.0
56,330086,602,52621,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,104.0,65.0
57,391605,899,71524,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,98.0,72.0
59,618931,1366,117239,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,93.0,66.0
62,483439,1344,95421,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,98.0,71.0
63,259898,435,47083,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,92.0,69.0
64,622506,1830,109876,Uttaranchal,Almora,29.683532133676103,79.50165064267351,88.0,70.0
65,259648,548,37725,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,102.0,68.0
67,1648902,7883,254802,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,109.0,63.0
69,561293,18615,103455,Haryana,Panchkula,30.700897142857134,76.97173238095236,115.0,72.0
70,1128350,12899,199681,Haryana,Ambala,30.3503672316384,76.94970310734456,113.0,72.0
72,964655,7356,171908,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,113.0,67.0
73,1074304,3724,187349,Haryana,Kaithal,29.96068539094649,76.37698930041155,113.0,60.0
74,1505324,11163,267223,Haryana,Karnal,29.703200647249204,76.87488025889972,113.0,65.0
75,1205437,10024,209965,Haryana,Panipat,29.34352134146342,76.92895914634147,116.0,65.0
77,1334152,5263,222462,Haryana,Jind,29.45149821958457,76.29598575667653,115.0,62.0
78,942011,3210,153301,Haryana,Fatehabad,29.57298318584072,75.54608716814157,111.0,59.0
79,1295189,6287,215527,Haryana,Sirsa,29.63583446327684,74.90970480225988,111.0,60.0
80,1743931,10132,285004,Haryana,Hisar,29.23628731117825,75.84324682779452,115.0,64.0
81,1634445,5292,266244,Haryana,Bhiwani,28.728868064516128,76.02110225806452,113.0,65.0
82,1061204,8482,193120,Haryana,Rohtak,28.892517647058817,76.53123235294117,115.0,70.0
83,958405,5034,168558,Haryana,Jhajjar,28.59651868131869,76.61137142857145,116.0,71.0
84,922088,2624,135455,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,112.0,68.0
85,900332,5121,152651,Haryana,Rewari,28.19164714828897,76.55956007604564,111.0,71.0
86,1514432,67087,305751,Haryana,Gurgaon,28.043894789579163,77.01935130260523,117.0,73.0
88,1809733,43437,333171,Haryana,Faridabad,28.14873109756098,77.32718536585368,115.0,70.0
93,1709346,80037,352758,Sikkim,East,27.29600352941175,88.74908392156858,113.0,79.0
99,1969168,6295,283142,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,113.0,61.0
100,1774692,3360,243163,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,110.0,58.0
101,2363937,7607,220793,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,110.0,54.0
102,2039547,2577,231696,Rajasthan,Churu,28.29330375536484,74.65846427038629,106.0,56.0
103,2137045,4828,297559,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,105.0,64.0
104,3674179,9750,485723,Rajasthan,Alwar,27.55271738035265,76.65359630562563,112.0,59.0
105,2548462,4179,288723,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,114.0,58.0
106,1206516,1330,96086,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,118.0,57.0
107,1458248,1059,132079,Rajasthan,Karauli,26.51901555555556,76.96081818181815,116.0,55.0
108,1335551,1887,140947,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,111.0,56.0
109,1634409,1719,195277,Rajasthan,Dausa,26.91234817629181,76.57342097264443,110.0,57.0
110,6626178,76565,990085,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110.0,65.0
111,2677333,5647,339457,Rajasthan,Sikar,27.64644058641976,75.29317422839503,106.0,62.0
112,3307743,4449,347344,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,105.0,53.0
113,3687165,19335,408808,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,109.0,55.0
114,669919,754,43141,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,117.0,46.0
115,2603751,2766,126494,Rajasthan,Barmer,25.77070908045978,71.50297126436782,111.0,46.0
